건물명,특수지명,블록,로트,용도코드,용도코드명,구조코드,구조코드명,주건축물수,연면적(㎡),총세대수(세대),철거멸실구분코드,철거멸실구분코드명,철거시작일,철거종료일,철거멸실일,건축허가일,착공예정일,착공일,사용검사일,사용검사예정일,생성일자,순번,대지위치,시군구코드,법정동코드,대지구분코드,번,지,관리주택대장PK
,,,,,,,,0,0,0,,,,,,20150331,,,,,20150401,54,서울특별시 광진구 구의동 610번지,11215,10300,0,0610,0000,11215-100009577
,,,,,,,,0,0,0,,,,,,20150402,,,,,20150403,55,서울특별시 광진구 구의동 611번지,11215,10300,0,0611,0000,11215-100009588
,,,,,,,,0,0,0,,,,,,20150407,,,,,20150408,56,서울특별시 광진구 구의동 611번지,11215,10300,0,0611,0000,11215-100009626
,,,,,,,,0,0,0,,,,,,20150410,,,,,20150411,57,서울특별시 광진구 구의동 611번지,11215,10300,0,0611,0000,11215-100009665
,,,,,,,,0,0,0,,,,,,20150422,,,,,20150423,58,서울특별시 광진구 구의동 631-1번지,11215,10300,0,0631,0001,11215-100009766
,,,,,,,,0,0,0,,,,,,20150529,,,,,20150530,59,서울특별시 광진구 구의동 631-1번지,11215,10300,0,0631,0001,11215-100009965
,,,,,,,,0,0,0,,,,,,20150603,,,,,20150604,60,서울특별시 광진구 구의동 631-1번지,11215,10300,0,0631,0001,11215-100009986
,,,,,,,,0,0,0,,,,,,20150605,20150607,,,20150612,20150606,61,서울특별시 광진구 구의동 631-1번지,11215,10300,0,0631,0001,11215-100010005
,,,,,,,,0,0,0,,,,,,20150622,,,,,20150623,62,서울특별시 광진구 구의동 611번지,11215,10300,0,0611,0000,11215-100010105
,,,,,,,,0,0,0,,,,,,20150629,,,,,20150630,63,서울특별시 광진구 구의동 631-1번지,11215,10300,0,0631,0001,11215-100010125
,,,,,,,,0,0,0,,,,,,20150712,,,,,20150714,64,서울특별시 광진구 구의동 611번지,11215,10300,0,0611,0000,11215-100010205
,,,,,,,,0,0,0,,,,,,20150715,20150723,,,20150728,20150716,65,서울특별시 광진구 구의동 631-1번지,11215,10300,0,0631,0001,11215-100010225
,,,,,,,,0,0,0,,,,,,20150727,20150727,,,20150813,20150728,66,서울특별시 광진구 구의동 611번지,11215,10300,0,0611,0000,11215-100010245
,,,,,,,,0,0,0,,,,,,20150727,,,,,20150728,67,서울특별시 광진구 구의동 611번지,11215,10300,0,0611,0000,11215-100010246
,,,,,,,,0,0,0,,,,,,20150730,20150809,,,20150814,20150731,68,서울특별시 광진구 구의동 610번지,11215,10300,0,0610,0000,11215-100010265
,,,,,,,,0,0,0,,,,,,20150731,,,,,20150801,69,서울특별시 광진구 구의동 611번지,11215,10300,0,0611,0000,11215-100010285
